id,trial,x,y,z,zmax,kernel,scenario,horizon,round,chosen,overall,Horizon
1,1,4,3,63.7013527592,0.18,Rough,Avg. Reward Condition,20,1,78,1,Short
1,2,5,5,61.5391732787,0.4,Rough,Avg. Reward Condition,20,1,100,1,Short
1,3,4,5,66.1329906623,0.4,Rough,Avg. Reward Condition,20,1,112,1,Short
1,4,4,7,47.8263633973,0.46,Rough,Avg. Reward Condition,20,1,89,1,Short
1,5,2,4,35.9082246739,0.46,Rough,Avg. Reward Condition,20,1,69,1,Short
1,6,3,3,53.9768384538,0.49,Rough,Avg. Reward Condition,20,1,12,1,Short
1,7,10,5,37.8302996703,0.49,Rough,Avg. Reward Condition,20,1,1,1,Short
1,8,10,4,53.5685725301,0.49,Rough,Avg. Reward Condition,20,1,2,1,Short
1,9,9,3,52.6770087164,0.49,Rough,Avg. Reward Condition,20,1,13,1,Short
1,10,6,9,34.6588515601,0.49,Rough,Avg. Reward Condition,20,1,23,1,Short
1,11,6,10,34.4746445894,0.49,Rough,Avg. Reward Condition,20,1,35,1,Short
1,12,7,7,26.6472142919,0.49,Rough,Avg. Reward Condition,20,1,25,1,Short
1,13,5,6,67.4717782812,0.49,Rough,Avg. Reward Condition,20,1,29,1,Short
1,14,3,3,53.9768384538,0.49,Rough,Avg. Reward Condition,20,1,85,1,Short
1,15,6,10,34.4746445894,0.49,Rough,Avg. Reward Condition,20,1,43,1,Short
1,16,2,1,70.0239835785,0.49,Rough,Avg. Reward Condition,20,1,71,1,Short
1,17,1,1,48.0935875031,0.49,Rough,Avg. Reward Condition,20,1,107,1,Short
1,18,1,2,56.0034935119,0.49,Rough,Avg. Reward Condition,20,1,110,1,Short
1,19,0,10,44.777490387,0.49,Rough,Avg. Reward Condition,20,1,22,1,Short
1,20,4,8,45.2794014613,0.49,Rough,Avg. Reward Condition,20,1,119,1,Short
1,21,3,5,60.9956565134,0.49,Rough,Avg. Reward Condition,20,1,118,1,Short
1,1,3,5,75.0250883463,0.26,Rough,Avg. Reward Condition,40,2,82,2,Long
1,2,4,4,37.2247549072,0.26,Rough,Avg. Reward Condition,40,2,92,2,Long
1,3,5,1,38.6890479154,0.32,Rough,Avg. Reward Condition,40,2,70,2,Long
1,4,2,3,44.0669303004,0.47,Rough,Avg. Reward Condition,40,2,71,2,Long
1,5,3,5,75.0250883463,0.47,Rough,Avg. Reward Condition,40,2,60,2,Long
1,6,3,7,53.4998993766,0.47,Rough,Avg. Reward Condition,40,2,61,2,Long
1,7,2,7,20.8380154741,0.47,Rough,Avg. Reward Condition,40,2,72,2,Long
1,8,2,6,31.1551855737,0.47,Rough,Avg. Reward Condition,40,2,73,2,Long
1,9,5,4,27.7456912697,0.47,Rough,Avg. Reward Condition,40,2,62,2,Long
1,10,0,1,45.6400924105,0.47,Rough,Avg. Reward Condition,40,2,50,2,Long
1,11,10,3,46.3196301095,0.47,Rough,Avg. Reward Condition,40,2,49,2,Long
1,12,9,4,32.5386103866,0.47,Rough,Avg. Reward Condition,40,2,59,2,Long
1,13,7,0,35.3153428371,0.47,Rough,Avg. Reward Condition,40,2,94,2,Long
1,14,3,7,53.4998993766,0.47,Rough,Avg. Reward Condition,40,2,83,2,Long
1,15,9,8,70.9435815561,0.47,Rough,Avg. Reward Condition,40,2,20,2,Long
1,16,9,9,48.2469413432,0.47,Rough,Avg. Reward Condition,40,2,55,2,Long
1,17,0,9,12.3134748029,0.47,Rough,Avg. Reward Condition,40,2,99,2,Long
1,18,1,10,7.961510422,0.47,Rough,Avg. Reward Condition,40,2,108,2,Long
1,19,6,3,20.2544962767,0.47,Rough,Avg. Reward Condition,40,2,29,2,Long
1,20,3,6,61.7124761041,0.47,Rough,Avg. Reward Condition,40,2,3,2,Long
1,21,2,2,33.6778376972,0.47,Rough,Avg. Reward Condition,40,2,23,2,Long
1,22,7,4,33.4912199403,0.47,Rough,Avg. Reward Condition,40,2,25,2,Long
1,23,6,5,62.1197165528,0.47,Rough,Avg. Reward Condition,40,2,34,2,Long
1,24,8,8,44.0626682473,0.47,Rough,Avg. Reward Condition,40,2,12,2,Long
1,25,1,2,17.010476792,0.47,Rough,Avg. Reward Condition,40,2,1,2,Long
1,26,10,5,61.4885690232,0.47,Rough,Avg. Reward Condition,40,2,2,2,Long
1,27,10,7,85.4397638131,0.47,Rough,Avg. Reward Condition,40,2,13,2,Long
1,28,4,6,48.5193217732,0.47,Rough,Avg. Reward Condition,40,2,89,2,Long
1,29,3,7,53.4998993766,0.47,Rough,Avg. Reward Condition,40,2,113,2,Long
1,30,6,1,69.9924833119,0.47,Rough,Avg. Reward Condition,40,2,101,2,Long
1,31,6,1,69.9924833119,0.47,Rough,Avg. Reward Condition,40,2,67,2,Long
1,32,7,1,57.8916852099,0.47,Rough,Avg. Reward Condition,40,2,56,2,Long
1,33,10,2,56.4762656457,0.47,Rough,Avg. Reward Condition,40,2,68,2,Long
1,34,9,3,6.1554694163,0.47,Rough,Avg. Reward Condition,40,2,79,2,Long
1,35,9,7,82.1507669314,0.47,Rough,Avg. Reward Condition,40,2,78,2,Long
1,36,10,7,85.4397638131,0.47,Rough,Avg. Reward Condition,40,2,80,2,Long
1,37,10,8,76.1577536082,0.47,Rough,Avg. Reward Condition,40,2,69,2,Long
1,38,7,2,50.3250287773,0.47,Rough,Avg. Reward Condition,40,2,81,2,Long
1,39,9,1,49.5835644833,0.47,Rough,Avg. Reward Condition,40,2,5,2,Long
1,40,10,1,60.2797132322,0.47,Rough,Avg. Reward Condition,40,2,7,2,Long
1,41,7,3,32.8647798695,0.47,Rough,Avg. Reward Condition,40,2,10,2,Long
1,1,9,4,30.336686132,-0.03,Rough,Avg. Reward Condition,20,3,55,3,Short
1,2,3,2,58.9766483667,-0.03,Rough,Avg. Reward Condition,20,3,20,3,Short
1,3,4,2,49.582488593,-0.03,Rough,Avg. Reward Condition,20,3,63,3,Short
1,4,6,1,59.0938949398,0.07,Rough,Avg. Reward Condition,20,3,109,3,Short
1,5,5,0,61.258427806,0.09,Rough,Avg. Reward Condition,20,3,99,3,Short
1,6,4,1,57.1643827547,0.09,Rough,Avg. Reward Condition,20,3,110,3,Short
1,7,7,5,66.0456136537,0.09,Rough,Avg. Reward Condition,20,3,121,3,Short
1,8,7,8,53.3553084138,0.14,Rough,Avg. Reward Condition,20,3,120,3,Short
1,9,2,10,38.266332365,0.5,Rough,Avg. Reward Condition,20,3,108,3,Short
1,10,3,10,16.8706552627,0.5,Rough,Avg. Reward Condition,20,3,107,3,Short
1,11,6,10,22.6054443345,0.5,Rough,Avg. Reward Condition,20,3,97,3,Short
1,12,4,9,0,0.5,Rough,Avg. Reward Condition,20,3,96,3,Short
1,13,5,9,26.2088929234,0.5,Rough,Avg. Reward Condition,20,3,118,3,Short
1,14,8,4,41.0480159471,0.5,Rough,Avg. Reward Condition,20,3,119,3,Short
1,15,8,3,46.1516878548,0.5,Rough,Avg. Reward Condition,20,3,98,3,Short
1,16,9,0,60.0001478018,0.5,Rough,Avg. Reward Condition,20,3,86,3,Short
1,17,8,0,51.8507217555,0.5,Rough,Avg. Reward Condition,20,3,106,3,Short
1,18,9,2,45.2192972309,0.5,Rough,Avg. Reward Condition,20,3,103,3,Short
